geo_id,geo_id2,naics_id,naics_meaning,zip_code,location,year,num_establishments,num_paid_employees,first_quarter_payroll,annual_payroll
8610000US01730,1730,0,Total for all sectors,1730.0,"Bedford, MA",2016,543,17106,398029,1573566
8610000US01731,1731,0,Total for all sectors,1731.0,"Hanscom Afb, MA",2016,35,294,10424,23959
8610000US01740,1740,0,Total for all sectors,1740.0,"Bolton, MA",2016,125,750,12152,48022
8610000US01741,1741,0,Total for all sectors,1741.0,"Carlisle, MA",2016,107,485,6891,38782
8610000US01742,1742,0,Total for all sectors,1742.0,"Concord, MA",2016,771,10072,165895,705255
8610000US01745,1745,0,Total for all sectors,1745.0,"Fayville, MA",2016,17,122,2484,9126
8610000US01746,1746,0,Total for all sectors,1746.0,"Holliston, MA",2016,396,5425,76916,340787
8610000US01747,1747,0,Total for all sectors,1747.0,"Hopedale, MA",2016,150,1801,22057,102976
8610000US01748,1748,0,Total for all sectors,1748.0,"Hopkinton, MA",2016,459,14658,507873,2019501
8610000US01749,1749,0,Total for all sectors,1749.0,"Hudson, MA",2016,543,8100,81483,351428
8610000US01752,1752,0,Total for all sectors,1752.0,"Marlborough, MA",2016,1458,34708,845558,3509337
8610000US01754,1754,0,Total for all sectors,1754.0,"Maynard, MA",2016,272,2385,45935,265630
8610000US01756,1756,0,Total for all sectors,1756.0,"Mendon, MA",2016,139,1094,7906,36609
8610000US01757,1757,0,Total for all sectors,1757.0,"Milford, MA",2016,822,16655,248942,996145
8610000US01760,1760,0,Total for all sectors,1760.0,"Natick, MA",2016,1329,20393,308896,1252144
8610000US01770,1770,0,Total for all sectors,1770.0,"Sherborn, MA",2016,102,759,8662,38192
8610000US01772,1772,0,Total for all sectors,1772.0,"Southborough, MA",2016,344,7748,164231,626526
8610000US01773,1773,0,Total for all sectors,1773.0,"Lincoln, MA",2016,148,1554,19100,82549
8610000US01775,1775,0,Total for all sectors,1775.0,"Stow, MA",2016,154,1357,15073,68475
8610000US01776,1776,0,Total for all sectors,1776.0,"Sudbury, MA",2016,542,6022,73541,287604
8610000US01778,1778,0,Total for all sectors,1778.0,"Wayland, MA",2016,348,3396,39833,164647
8610000US01784,1784,0,Total for all sectors,1784.0,"Woodville, MA",2016,4,29,321,1334
8610000US01801,1801,0,Total for all sectors,1801.0,"Woburn, MA",2016,2119,43559,703536,2924165
8610000US01803,1803,0,Total for all sectors,1803.0,"Burlington, MA",2016,1474,40005,917618,3595973
